subject,catalog_num,title_units,description
AFST,101-7,AFST 101-7 College Seminar (1 Unit),"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
AFST,101-8,AFST 101-8 First-Year Writing Seminar (1 Unit),"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
AFST,276-0,AFST 276-0 African Literature in Translation (1 Unit),Continental African literature. Content varies. May be repeated for credit with different topic. Taught with COMP_LIT 270-0 ; may not receive credit for both courses with same topic. Literature  Fine Arts Distro Area
AFST,360-SA,"AFST 360-SA Culture, Language, and Identity in South Africa (1 Unit)","Introduction to South African populations and cultures through direct experience and representations in history, art, literature, languages, and customs. Discussions of South African cultures and ethnicity, language use and policy, and identity. Restricted to students in Northwestern's South Africa program. Social  Behavioral Sciences Distro Area"
AFST,390-0,AFST 390-0 Topics in African Studies (1 Unit),A general examination of topics relevant to African studies. May be repeated for credit with change of topic. Restricted to students in Northwestern's South Africa program.
AFST,390-SA,AFST 390-SA Topics in African Studies (1 Unit),A general examination of topics relevant to African studies. May be repeated for credit with change of topic. Restricted to students in Northwestern's South Africa program.
AFST,392-1,AFST 392-1 Herskovits Undergraduate Research Award (1 Unit),2-course sequence required for recipients of the Herskovits Undergraduate Research Award. Consecutive enrollment required in AFST 392-2 .
AFST,392-2,AFST 392-2 Herskovits Undergraduate Research Award (1 Unit),2-course sequence required for recipients of the Herskovits Undergraduate Research Award. AFST 392-1 .
AFST,395-0,AFST 395-0 Senior Research Seminar (1 Unit),Capstone seminar addressing both techniques of research and the substance of a significant issue in African studies. Students develop skills at formulating a research topic and organizing research.
AFST,399-0,AFST 399-0 Independent Study (1 Unit),"May be repeated for credit with change of topic. © 2022-2023 Northwestern University Campus Emergency Information Careers Contact Northwestern University Disclaimer Report an Accessibility Issue University Policies Contact Information Office of the Registrar address 633 Clark Street Evanston, IL 60208-1118 Evanston phone number (847) 491-5234 Fax (847) 491-8458 Email Northwestern Registrar's Office nu-registrar@northwestern.edu Social Media Facebook Twitter Instagram YouTube RSS Additional Links Bookstore Directory Library Maps Media Relations Parking Shuttles Student Complaint Procedure Back to Top Print Options Send Page to Printer Print this page. Download Page (PDF) The PDF will include all information unique to this page. Undergraduate Catalog 2024-2025 PDF of the 2024-2025 Undergraduate Catalog. Cancel"
AMER_ST,301-1,AMER_ST 301-1 Seminar for Majors (1 Unit),"Set of required courses structured to share a broad comparativist or internationally oriented theme, integrating methods and materials from different disciplines. Change of instructor each quarter; change of theme every year. Limited to 20 students."
AMER_ST,301-2,AMER_ST 301-2 Seminar for Majors (1 Unit),"Set of required courses structured to share a broad comparativist or internationally oriented theme, integrating methods and materials from different disciplines. Change of instructor each quarter; change of theme every year. Limited to 20 students."
AMER_ST,301-3,AMER_ST 301-3 Seminar for Majors (1 Unit),"Set of required courses structured to share a broad comparativist or internationally oriented theme, integrating methods and materials from different disciplines. Change of instructor each quarter; change of theme every year. Limited to 20 students."
AMER_ST,310-0,AMER_ST 310-0 Studies in American Culture (1 Unit),"Readings and discussions of topics in American cultural life-for example, law in 20th century America or television news in contemporary US culture. Limited enrollment with emphasis on student participation. Prerequisites vary. May be repeated for credit with consent of program director."
AMER_ST,390-1,AMER_ST 390-1 Senior Project (1 Unit),Thesis or field study. Required of majors. Advanced Expression
AMER_ST,390-2,AMER_ST 390-2 Senior Project (1 Unit),"Thesis or field study. Required of majors. Advanced Expression © 2022-2023 Northwestern University Campus Emergency Information Careers Contact Northwestern University Disclaimer Report an Accessibility Issue University Policies Contact Information Office of the Registrar address 633 Clark Street Evanston, IL 60208-1118 Evanston phone number (847) 491-5234 Fax (847) 491-8458 Email Northwestern Registrar's Office nu-registrar@northwestern.edu Social Media Facebook Twitter Instagram YouTube RSS Additional Links Bookstore Directory Library Maps Media Relations Parking Shuttles Student Complaint Procedure Back to Top Print Options Send Page to Printer Print this page. Download Page (PDF) The PDF will include all information unique to this page. Undergraduate Catalog 2024-2025 PDF of the 2024-2025 Undergraduate Catalog. Cancel"
ANTHRO,101-7,ANTHRO 101-7 College Seminar (1 Unit),"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ANTHRO,101-8,ANTHRO 101-8 First-Year Writing Seminar (1 Unit),"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
ANTHRO,211-0,ANTHRO 211-0 Culture & Society (1 Unit),"Introduction to the comparative study of culture, exploring different types of social organization and their economic and political correlates in the context of contemporary globalization. Global Perspectives on Power, Justice, and Equity Social  Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
ANTHRO,213-0,ANTHRO 213-0 Human Origins (1 Unit),"Emergence of the human species through the process of organic evolution, emphasizing genetics, the fossil record, and comparison with our nearest living relatives. Natural Sciences Distro Area Natural Sciences Foundational Discipline"
ANTHRO,214-0,ANTHRO 214-0 Archaeology: Unearthing History (1 Unit),The evolution of culture from its earliest beginnings through the development of urbanism and the state. Principles of archaeological research. Historical Studies Distro Area Social  Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl
ANTHRO,215-0,ANTHRO 215-0 The Study of Culture through Language (1 Unit),"The scope of linguistic anthropology, from the study of language as an end in itself to the investigation of cultures through the medium of human languages. Global Perspectives on Power, Justice, and Equity Social  Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
